name,location,comments count,speed,service,flavour,mean
" Hey Döner, Bahçelievler (Zafer Mah.) ",istanbul/bahcelievler-sirinevler-mah,113,8.8,8.4,8.1,8.4
" Andoğlu Künefe, Bakırköy (Cevizlik Mah.) ",istanbul/bahcelievler-sirinevler-mah,374,8.5,8.2,8.3,8.3
" Kevser Gurme Mantı, Güngören (M. Nesih Özmen Mah. - Merter) ",istanbul/bahcelievler-sirinevler-mah,199,8.0,8.6,8.4,8.3
" Umut Balık Evi, Bahçelievler (Yenibosna Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,257,8.3,8.3,8.4,8.3
" Baran 4 Kellepaça & İşkembe & Kebap & Pide, Bağcılar (Barbaros Mah.) ",istanbul/bahcelievler-sirinevler-mah,214,8.5,8.3,8.1,8.3
" Pidem, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,243,8.3,8.4,8.0,8.2
" Marmaris Büfe 1964, Zeytinburnu (Maltepe Mah.) ",istanbul/bahcelievler-sirinevler-mah,154,8.6,8.2,7.8,8.2
" Köşem Döner, Bahçelievler (Cumhuriyet Mah.) ",istanbul/bahcelievler-sirinevler-mah,89,8.3,8.1,8.1,8.2
" Ciğer-i Ala, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,91,8.5,8.3,7.6,8.1
" Bayabi Cafe, Bahçelievler (Kocasinan Mah.) ",istanbul/bahcelievler-sirinevler-mah,9,,8.1,8.0,8.1
" Adana Akışkanlı Börek, Bahçelievler (Kocasinan Mah.) ",istanbul/bahcelievler-sirinevler-mah,12,,8.1,8.0,8.1
" Gala Kokoreç, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,141,8.3,7.9,7.4,7.9
" Paşa Döner, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,332,7.9,7.8,7.8,7.8
" Tadım Pide & Börek, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bahcelievler-sirinevler-mah,64,8.4,7.7,7.1,7.7
" Yakup Usta Baklava & Künefe, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bahcelievler-sirinevler-mah,24,8.1,7.8,7.1,7.7
" Paşa Döner, Bakırköy (Osmaniye Mah.) ",istanbul/bahcelievler-sirinevler-mah,199,7.5,7.3,7.4,7.4
" Baba Döner, Bahçelievler (Hürriyet Mah.) ",istanbul/bahcelievler-sirinevler-mah,85,7.6,7.4,7.1,7.4
" Adsom Sac Tava & Kebap & Lahmacun, Bahçelievler (Hürriyet Mah.) ",istanbul/bahcelievler-sirinevler-mah,18,6.9,6.2,6.7,6.6
" Mantı & Fitçi, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,5,10.0,10.0,10.0,10.0
" Çene Suyu, Bahçelievler (Soğanlı Mah.) ",istanbul/bahcelievler-sirinevler-mah,17,9.9,10.0,9.9,9.9
" Ataköy Su & Meşrubat, Bakırköy (Ataköy 7. Kısım) ",istanbul/bahcelievler-sirinevler-mah,4,9.9,9.9,9.9,9.9
" Ahmet Efendi Dondurma, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,250,9.7,9.7,9.6,9.7
" Capua Pizza, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bahcelievler-sirinevler-mah,574,9.6,9.4,9.5,9.5
" Focaccia, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bahcelievler-sirinevler-mah,46,,9.7,9.3,9.5
" Pizza Bulls, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,839,9.5,9.5,9.4,9.5
" Sotto Pizza, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bahcelievler-sirinevler-mah,67,9.6,9.5,9.3,9.5
" Doyum Mutfak Lokantası, Bakırköy (Zuhuratbaba Mah.) ",istanbul/bahcelievler-sirinevler-mah,144,9.6,9.5,9.2,9.4
" Boston Donuts, Bakırköy (Ataköy 9. Kısım) ",istanbul/bahcelievler-sirinevler-mah,172,,9.5,9.4,9.4
" Meşhur Sarıyer Börekçisi, Bahçelievler (Hürriyet Mah.) ",istanbul/bahcelievler-sirinevler-mah,0,,9.3,9.5,9.4
" Starbucks Coffee, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,93,,9.5,9.3,9.4
" Pizza Art, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,585,9.4,9.4,9.3,9.4
" Burgerator, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,736,9.5,9.3,9.4,9.4
" Durak Tantuni, Bahçelievler (Soğanlı Mah.) ",istanbul/bahcelievler-sirinevler-mah,533,9.4,9.3,9.3,9.3
" Meşhur Yenibosna Pilavcısı, Bahçelievler (Zafer Mah.) ",istanbul/bahcelievler-sirinevler-mah,158,9.3,9.4,9.3,9.3
" Burger Yesek, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,592,9.4,9.3,9.3,9.3
" Kuhinja Boşnak Böreği, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,256,9.4,9.4,9.2,9.3
" Papa John's Pizza, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,192,9.3,9.3,9.3,9.3
" (Chinastix) & Sushi, Bakırköy (Yeşilköy Mah.) ",istanbul/bahcelievler-sirinevler-mah,330,9.3,9.4,9.2,9.3
" Sushibucks Asian Food, Zeytinburnu (Maltepe Mah.- Cevizlibağ) ",istanbul/bahcelievler-sirinevler-mah,421,9.3,9.5,9.1,9.3
" Mersin Yaprak Tantuni, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bahcelievler-sirinevler-mah,467,9.4,9.2,9.2,9.3
" Chopstix, Küçükçekmece (Atakent Mah. - Avrupa Konutları Bölgesi) ",istanbul/bahcelievler-sirinevler-mah,296,9.3,9.3,9.1,9.2
" Taksim Hamburger, Bakırköy (Zuhuratbaba Mah. - İncirli) ",istanbul/bahcelievler-sirinevler-mah,463,9.3,9.2,9.2,9.2
" Pizzalive, Bahçelievler (Soğanlı Mah.) ",istanbul/bahcelievler-sirinevler-mah,282,9.2,9.3,9.2,9.2
" .Sushiwind., Bakırköy (Yeşilköy Mah.) ",istanbul/bahcelievler-sirinevler-mah,352,9.1,9.4,9.2,9.2
" Mogaf Hatay Sofrası, Bahçelievler (Kocasinan Mah.) ",istanbul/bahcelievler-sirinevler-mah,191,9.0,9.2,9.4,9.2
" Oses Çiğ Köfte, Bahçelievler (Şirinevler Mah. - Mahmutbey Cad.) ",istanbul/bahcelievler-sirinevler-mah,4,,9.3,9.1,9.2
" Aydın Pastanesi, Bahçelievler (Soğanlı Mah.) ",istanbul/bahcelievler-sirinevler-mah,15,,9.4,9.0,9.2
" Gaziantepli Mehmet Bey Baklavaları, Güngören (Haznedar Mah.) ",istanbul/bahcelievler-sirinevler-mah,73,9.4,9.2,9.0,9.2
" Focaccia, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,21,,9.3,9.1,9.2
" Halil İbrahim Sofrası, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,790,9.5,9.1,9.0,9.2
" Acı Tatlı Döner, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,332,9.4,9.2,9.0,9.2
" Etibeyaz Döner, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,297,9.3,9.1,9.1,9.2
" Burger Yerim, Bahçelievler (Soğanlı Mah.) ",istanbul/bahcelievler-sirinevler-mah,268,9.2,9.2,9.0,9.1
" Saray Muhallebicisi 1935, Bakırköy (Ataköy 1. Kısım) ",istanbul/bahcelievler-sirinevler-mah,444,9.2,9.1,9.0,9.1
