name,location,comments count,speed,service,flavour,mean
" Burger King, Bakırköy (Ataköy 1. Kısım) ",istanbul/bakirkoy-atakoy-1-kisim,226,8.1,7.8,7.5,7.8
" Paşa Döner, Bakırköy (Cevizlik Mah.) ",istanbul/bakirkoy-atakoy-1-kisim,514,7.9,7.6,7.7,7.7
" Papa John's Pizza, Bakırköy (Ataköy 7. Kısım) ",istanbul/bakirkoy-atakoy-1-kisim,179,9.2,9.2,9.0,9.1
" Little Caesars Pizza, Bakırköy (Ataköy 8. Kısım) ",istanbul/bakirkoy-atakoy-1-kisim,448,9.1,9.2,9.0,9.1
" Gazi Çiğ Köfte, Güngören (Tozkoparan Mah.) ",istanbul/bakirkoy-atakoy-1-kisim,121,9.3,9.1,9.0,9.1
" Soğuk Mutfak Meze, Bakırköy (Yeşilköy Mah. - İDTM) ",istanbul/bakirkoy-atakoy-1-kisim,74,8.3,8.9,8.5,8.6
" Soğuk Mutfak Meze, Bakırköy (Zeytinlik Mah.) ",istanbul/bakirkoy-atakoy-1-kisim,50,7.1,8.1,7.6,7.6
" Always A Dessert, Zeytinburnu (Gökalp Mah.) ",istanbul/bakirkoy-atakoy-1-kisim,37,8.9,8.5,8.4,8.6
" Royal Dessert, Bakırköy (Cevizlik Mah.) ",istanbul/bakirkoy-atakoy-1-kisim,7,10.0,10.0,10.0,10.0
" Bean's Dessert, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bakirkoy-atakoy-1-kisim,91,9.2,9.6,9.3,9.4
" Bean's Dessert, Bahçelievler (Merkez Mah.) ",istanbul/bakirkoy-atakoy-1-kisim,84,9.2,9.4,9.3,9.3
" Pasaport Pizza, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-1-kisim,48,9.1,9.1,8.7,9.0
" Blue Ice Cream, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-1-kisim,10,9.2,9.1,8.4,8.9
" Blue Ice Cream, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bakirkoy-atakoy-1-kisim,13,8.7,8.8,8.6,8.7
" Blue Ice Cream, Bahçelievler (Merkez Mah.) ",istanbul/bakirkoy-atakoy-1-kisim,52,8.4,8.5,8.7,8.5
" Bean's Dessert, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-1-kisim,63,8.1,8.6,8.9,8.5
" Mix Marley Burger, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bakirkoy-atakoy-1-kisim,94,7.4,7.0,6.9,7.1
" + Tatlı Zamanı, Bakırköy (Zuhuratbaba Mah. - İncirli) ",istanbul/bakirkoy-atakoy-1-kisim,58,9.5,9.6,9.5,9.5
