name,location,comments count,speed,service,flavour,mean
" Andoğlu Künefe, Bakırköy (Cevizlik Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,374,8.5,8.3,8.4,8.4
" Baran 4 Kellepaça & İşkembe & Kebap & Pide, Bağcılar (Barbaros Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,215,8.5,8.3,8.1,8.3
" Rönesans Pilavcısı, Zeytinburnu (Yenidoğan Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,76,8.8,8.3,7.6,8.2
" Gala Kokoreç, Güngören (Sanayi Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,19,7.6,7.4,7.4,7.5
" Mh Pizza & Döner, Bahçelievler (Şirinevler Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,142,7.4,7.4,7.0,7.3
" Ataköy Su & Meşrubat, Bakırköy (Ataköy 7. Kısım) ",istanbul/bakirkoy-atakoy-3-kisim,4,9.8,9.9,9.9,9.9
" Bi Sor'be, Bakırköy (Yeşilköy Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,23,9.9,9.7,9.8,9.8
" Sweet Home, Bakırköy (Yenimahalle Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,313,9.7,9.7,9.7,9.7
" Ahmet Efendi Dondurma, Bahçelievler (Şirinevler Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,250,9.7,9.7,9.6,9.7
" [email protected] Fresh & Fast, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,866,9.7,9.7,9.4,9.6
" Capua Pizza, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,574,9.6,9.4,9.5,9.5
" Derhan Pastanesi, Zeytinburnu (Telsiz Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,293,9.6,9.6,9.3,9.5
" Sevinç Pastanesi Pasta & Tatlı & Börek, Zeytinburnu (Yenidoğan Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,84,9.6,9.6,9.4,9.5
" Sotto Pizza, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,67,9.6,9.5,9.3,9.5
" Pizza Bulls, Bahçelievler (Merkez Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,842,9.5,9.4,9.4,9.4
" Yeşilköy Roma Dondurması, Bakırköy (Yeşilköy Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,18,9.6,9.4,9.3,9.4
" Midye Box, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,33,,9.7,9.2,9.4
" Mienyu Pizza, Bakırköy (Yeşilköy Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,249,9.5,9.5,9.3,9.4
" Pizza Art, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bakirkoy-atakoy-3-kisim,585,9.5,9.5,9.3,9.4
" Carmen Tatlıcılık, Bakırköy (Ataköy 8. Kısım) ",istanbul/bakirkoy-atakoy-3-kisim,98,9.2,9.5,9.5,9.4
" Burgerator, Bahçelievler (Merkez Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,736,9.5,9.3,9.4,9.4
" Arsamiea Çiğ Köfte, Bahçelievler (Şirinevler Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,4,9.6,9.4,9.2,9.4
" Uludağ Et Lokantası, Bakırköy (Şenlikköy Mah. - Florya) ",istanbul/bakirkoy-atakoy-3-kisim,401,9.5,9.4,9.2,9.4
" Burger Yesek, Bahçelievler (Şirinevler Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,592,9.4,9.3,9.3,9.3
" Tatlım Geldi, Bakırköy (Şenlikköy Mah. - Florya) ",istanbul/bakirkoy-atakoy-3-kisim,150,9.4,9.5,9.1,9.3
" Oses Çiğ Köfte, Bakırköy (Ataköy 7. Kısım) ",istanbul/bakirkoy-atakoy-3-kisim,128,9.5,9.3,9.2,9.3
" Sushibucks Asian Food, Zeytinburnu (Maltepe Mah.- Cevizlibağ) ",istanbul/bakirkoy-atakoy-3-kisim,423,9.3,9.5,9.1,9.3
